Moral Foundation,Tamil,Kannada,English
care.virtue,0.47889186285714286,0.45372239000000003,0.27995411333333337
care.vice,0.4501935542857143,0.36434120000000003,0.21461049499999998
fairness.virtue,0.4426475928571429,0.400466085,0.22976264333333332
fairness.vice,0.44120382857142854,0.356777,0.21255886000000002
loyalty.virtue,0.47328892857142846,0.412888245,0.25165798333333333
loyalty.vice,0.43443525,0.37244598,0.23577958833333332
authority.virtue,0.4749149914285714,0.470913305,0.2759073716666667
authority.vice,0.4465315885714286,0.34739967000000005,0.22070682666666666
sanctity.virtue,0.5166417885714286,0.490617395,0.28623863666666666
sanctity.vice,0.4952639471428571,0.414631455,0.23707625666666673
